Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Congenital muscular dystrophy,Muscular disorders,Muscle weakness from birth; hypotonia; joint contractures; delayed milestones; respiratory and swallowing difficulties; scoliosis,Muscular dystrophy,vata|kapha
Myotonic dystrophy,Muscular disorders,Progressive muscle weakness (face; neck; hands; lower legs); myotonia; cataracts; cardiac arrhythmias; difficulty swallowing; excessive sleepiness; endocrine disturbances,Muscular dystrophy (myotonic),vata|kapha
Mitochondrial myopathies (Kearns-Sayre syndrome; MERRF; MELAS),Muscular disorders,Muscle weakness; exercise intolerance; ptosis; ophthalmoplegia; hearing loss; seizures; stroke-like episodes (MELAS); myoclonus (MERRF),Mitochondrial myopathy,vata
Metabolic myopathies (glycogen storage diseases; lipid storage diseases),Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria; hypoglycemia (in some),Metabolic myopathy,vata|kapha
Inflammatory myopathies (polymyositis; dermatomyositis),Muscular disorders,Symmetrical proximal muscle weakness; muscle pain; fatigue; skin rash (dermatomyositis); difficulty swallowing,Inflammatory myopathy,pitta|vata
"Toxic myopathies (e.g., steroid-induced)",Muscular disorders,Muscle weakness; pain; cramps; elevated CK; possible rhabdomyolysis,Toxic/metabolic myopathy,vata|pitta
Endocrine myopathies (thyroid; adrenal disorders),Muscular disorders,Muscle weakness; cramps; fatigue; possible muscle wasting; endocrine symptoms (thyroid; diabetes; adrenal),Endocrine/metabolic myopathy,vata|kapha
HIV-associated myopathy,Muscular disorders,Progressive muscle weakness; pain; wasting; elevated CK,Infectious myopathy,vata|pitta
Critical illness myopathy,Muscular disorders,Diffuse muscle weakness; difficulty weaning from ventilator; muscle wasting,Acquired myopathy,vata
Neurogenic atrophies (ALS; SMA),Muscular disorders,Progressive muscle wasting; weakness; fasciculations; loss of reflexes; respiratory failure (ALS; SMA),Motor neuron disease,vata
Myoglobinuria-linked myopathies,Muscular disorders,Muscle pain; weakness; dark urine after exercise; risk of kidney damage,Metabolic myopathy,vata|pitta
Juvenile dermatomyositis,Muscular disorders,Muscle weakness; skin rash; pain; fatigue; difficulty swallowing,Inflammatory myopathy,pitta|vata
Myositis ossificans,Muscular disorders,Painful; hard muscle mass; swelling; restricted movement; tenderness,Heterotopic ossification,vata|kapha
Stiff person syndrome,Muscular disorders,Muscle stiffness; rigidity; painful spasms; difficulty walking,Neuromuscular disorder,vata
Multiminicore myopathy,Muscular disorders,Muscle weakness (axial; respiratory; limb); scoliosis; respiratory insufficiency,Congenital myopathy,vata|kapha
Myotubular myopathy,Muscular disorders,Severe muscle weakness; hypotonia; respiratory failure; feeding difficulties (often fatal in infancy),Congenital myopathy,vata|kapha
Glycogen storage disease type II,Muscular disorders,Progressive muscle weakness; respiratory difficulties; cardiomegaly; feeding problems; hypotonia; fatigue,Glycogen storage disease (metabolic myopathy),kapha|vata
Carnitine deficiency myopathy,Muscular disorders,Muscle weakness; exercise intolerance; myoglobinuria; hypoglycemia,Metabolic myopathy,vata|kapha
Lipid storage myopathy,Muscular disorders,Muscle weakness; exercise intolerance; myoglobinuria,Metabolic myopathy,vata|kapha
Acid lipase deficiency,Muscular disorders,Muscle weakness; hepatomegaly; failure to thrive; GI symptoms,Lysosomal storage disease,kapha|vata
Phosphorylase deficiency,Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Glycogen storage disease (metabolic myopathy),vata|kapha
Carnitine palmitoyltransferase deficiency,Muscular disorders,Muscle weakness; exercise intolerance; myoglobinuria; hypoglycemia,Metabolic myopathy,vata|kapha
Adult-onset nemaline myopathy,Muscular disorders,Progressive muscle weakness (face; neck; trunk; limbs); hypotonia; swallowing/respiratory difficulties,Congenital myopathy (adult-onset),vata|kapha
Distal myopathy with rimmed vacuoles,Muscular disorders,Weakness in hands; feet; lower arms/legs; slow progression; difficulty with fine motor tasks,Muscular dystrophy,vata
Inclusion body myopathy with Paget disease and frontotemporal dementia (IBMPFD),Muscular disorders,Progressive muscle weakness; bone pain/deformity (Paget disease); dementia; behavioral changes,Multisystem proteinopathy,vata|kapha
Andersen-Tawil syndrome,Muscular disorders,"Periodic paralysis (episodes of muscle weakness or flaccid paralysis, often affecting legs, arms, hands, feet; can range from mild to severe, lasting minutes to days); Cardiac arrhythmias (ventricular arrhythmias, long QT interval, palpitations, syncope, rarely sudden death); Distinctive physical features (micrognathia/small jaw, low-set ears, widely spaced eyes, clinodactyly, syndactyly, short stature, scoliosis, dental abnormalities); Other: developmental delay, cognitive impairment, mild skeletal abnormalities","Channelopathy (periodic paralysis syndrome, arrhythmia syndrome)",vata|kapha|pitta
Becker Myotonia,Muscular disorders,Muscle stiffness (myotonia); delayed muscle relaxation after contraction; mild muscle weakness; symptoms often triggered by cold or rest; improvement with repeated activity (warm-up phenomenon),Non-dystrophic myotonia (channelopathy),vata
Guillain-Barré syndrome (GBS),Muscular disorders,"Rapid-onset muscle weakness; ascending paralysis (starts in legs); areflexia; tingling/numbness; pain; autonomic dysfunction (heart rate, blood pressure changes); respiratory failure (severe cases)",Acute inflammatory demyelinating polyneuropathy,vata|pitta
Friedreich’s ataxia (FA or FRDA),Muscular disorders,Progressive ataxia (loss of coordination); muscle weakness; spasticity; speech problems; scoliosis; cardiomyopathy; diabetes; loss of sensation in limbs,Hereditary ataxia (neurodegenerative),vata|kapha
Leigh syndrome (subacute necrotizing encephalomyopathy),Muscular disorders,Developmental delay/regression; hypotonia; ataxia; seizures; respiratory problems; feeding difficulties; lactic acidosis; eye movement abnormalities,Mitochondrial disorder (neurodegenerative),vata|kapha
"Neuropathy, ataxia and retinitis pigmentosa (NARP)",Muscular disorders,"Peripheral neuropathy (numbness, tingling, weakness); ataxia; vision loss (retinitis pigmentosa); hearing loss; developmental delay",Mitochondrial disorder,vata
Pearson syndrome,Muscular disorders,Sideroblastic anemia; pancreatic dysfunction; failure to thrive; muscle weakness; lactic acidosis; liver/kidney problems,Mitochondrial disorder (multisystem),vata|kapha
Primary Lateral Sclerosis (PLS),Muscular disorders,Progressive muscle stiffness (spasticity); weakness (especially legs); slow movement; speech/swallowing difficulties; no muscle wasting,Motor neuron disease (upper motor neuron),vata
Progressive Spinal Muscular Atrophy (PSMA),Muscular disorders,Progressive muscle weakness and wasting (especially limbs); fasciculations; loss of reflexes; no sensory loss,Motor neuron disease (lower motor neuron),vata
Small Fiber Neuropathy,Muscular disorders,"Burning pain; tingling; numbness; autonomic symptoms (sweating, heart rate, GI issues); often in feet/hands",Peripheral neuropathy (small fiber),vata|pitta
Myotonia congenita,Muscular disorders,Muscle stiffness (myotonia); delayed relaxation after contraction; muscle hypertrophy; symptoms improve with repeated activity (warm-up phenomenon),Non-dystrophic myotonia (channelopathy),vata
Alcoholic cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling in legs/ankles/abdomen; irregular heartbeat; chest pain; palpitations; dizziness; fainting,Dilated cardiomyopathy (acquired),vata|kapha|pitta
Congenital dilated cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; poor growth (children); swelling; arrhythmias; fainting,Dilated cardiomyopathy (congenital),vata|kapha
Diabetic cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; palpitations,Dilated/restrictive cardiomyopathy (metabolic),kapha|vata
Familial dilated cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; fainting,Dilated cardiomyopathy (genetic),vata|kapha
HIV-associated cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; palpitations,Dilated cardiomyopathy (infectious),vata|kapha|pitta
Idiopathic dilated cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; palpitations,Dilated cardiomyopathy (unknown cause),vata|kapha
Infectious myocarditis-related cardiomyopathy,Cardiomyopathies,Chest pain; fever; fatigue; shortness of breath; arrhythmias; swelling,Dilated cardiomyopathy (infectious/inflammatory),pitta|vata|kapha
Ischemic cardiomyopathy (due to coronary artery disease),Cardiomyopathies,Chest pain; shortness of breath; fatigue; swelling; arrhythmias; palpitations,Dilated cardiomyopathy (ischemic),vata|kapha|pitta
Peripartum cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; palpitations (during/after pregnancy),Dilated cardiomyopathy (peripartum),vata|kapha
Chemotherapy-induced cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain,Dilated cardiomyopathy (toxic),vata|kapha|pitta
"Toxic cardiomyopathy (e.g., drugs, toxins)",Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain,Dilated cardiomyopathy (toxic),vata|kapha|pitta
Myocarditis-induced dilated cardiomyopathy,Cardiomyopathies,Chest pain; fever; fatigue; shortness of breath; arrhythmias; swelling,Dilated cardiomyopathy (inflammatory),pitta|vata|kapha
Tachycardia-induced cardiomyopathy,Cardiomyopathies,Palpitations; shortness of breath; fatigue; swelling; fainting,Dilated cardiomyopathy (arrhythmia-induced),vata|kapha
Hypothyroid-related cardiomyopathy,Cardiomyopathies,Fatigue; swelling; slow heart rate; shortness of breath; weight gain,Dilated/restrictive cardiomyopathy (endocrine),kapha|vata
Post-infectious dilated cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain,Dilated cardiomyopathy (post-infectious),vata|kapha
Familial hypertrophic cardiomyopathy,Cardiomyopathies,Chest pain; shortness of breath; palpitations; fainting; arrhythmias; sudden death,Hypertrophic cardiomyopathy (genetic),vata|pitta|kapha
Obstructive hypertrophic cardiomyopathy (HOCM),Cardiomyopathies,Chest pain; shortness of breath; palpitations; fainting; arrhythmias; heart murmur,Hypertrophic cardiomyopathy (obstructive),vata|pitta|kapha
Non-obstructive hypertrophic cardiomyopathy,Cardiomyopathies,Chest pain; shortness of breath; palpitations; arrhythmias,Hypertrophic cardiomyopathy (non-obstructive),vata|pitta|kapha
"Syndromic hypertrophic cardiomyopathy (e.g., Noonan syndrome)",Cardiomyopathies,Chest pain; shortness of breath; palpitations; fainting; arrhythmias; features of underlying syndrome,Hypertrophic cardiomyopathy (syndromic),vata|pitta|kapha
Fabry disease-related hypertrophic cardiomyopathy,Cardiomyopathies,Chest pain; shortness of breath; palpitations; arrhythmias; pain crises; skin changes,Hypertrophic cardiomyopathy (storage disease),vata|pitta|kapha
Friedreich's ataxia-associated HCM,Cardiomyopathies,Chest pain; shortness of breath; palpitations; arrhythmias; ataxia; muscle weakness,Hypertrophic cardiomyopathy (neuromuscular),vata|pitta|kapha
Athlete’s heart (physiological hypertrophy),Cardiomyopathies,Usually asymptomatic; mild shortness of breath; bradycardia,Physiological hypertrophy,kapha
Hypertensive heart disease with hypertrophy,Cardiomyopathies,Chest pain; shortness of breath; palpitations; arrhythmias; swelling,Hypertrophic cardiomyopathy (secondary),kapha|vata
Storage diseases causing hypertrophic cardiomyopathy,Cardiomyopathies,Chest pain; shortness of breath; palpitations; arrhythmias; organomegaly,Hypertrophic cardiomyopathy (storage disease),kapha|vata
Amyloidosis-related hypertrophic cardiomyopathy,Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; fainting,Hypertrophic/restrictive cardiomyopathy (infiltrative),kapha|vata
Mitochondrial myopathies with hypertrophy,Cardiomyopathies,Shortness of breath; fatigue; arrhythmias; muscle weakness,Hypertrophic cardiomyopathy (mitochondrial),vata|kapha
Restrictive cardiomyopathy (idiopathic and secondary causes),Cardiomyopathies,Shortness of breath; fatigue; swelling; arrhythmias; chest pain; fainting,Restrictive cardiomyopathy,kapha|vata
Arrhythmogenic right ventricular cardiomyopathy (ARVC),Cardiomyopathies,Palpitations; arrhythmias; fainting; chest pain; sudden death,Arrhythmogenic cardiomyopathy,vata|pitta
Left ventricular noncompaction cardiomyopathy (LVNC),Cardiomyopathies,Shortness of breath; fatigue; arrhythmias; chest pain; fainting,Noncompaction cardiomyopathy,vata|kapha
Takotsubo cardiomyopathy (stress-induced),Cardiomyopathies,Chest pain; shortness of breath; arrhythmias; fainting; often after emotional stress,Stress-induced cardiomyopathy,vata|pitta
