Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Central core disease,Muscular disorders,Hypotonia; muscle weakness (especially proximal); delayed motor milestones; risk of malignant hyperthermia,Congenital myopathy,vata|kapha,hypotonia muscle weakness especially proximal delayed motor milestones risk of malignant hyperthermia,vata|kapha
Centronuclear myopathy,Muscular disorders,Muscle weakness (especially proximal); delayed motor milestones; facial weakness; respiratory issues,Congenital myopathy,vata|kapha,muscle weakness especially proximal delayed motor milestones facial weakness respiratory issues,vata|kapha
Congenital muscular dystrophy (CMD),Muscular disorders,Muscle weakness from birth; hypotonia; joint contractures; delayed milestones; respiratory and swallowing difficulties; scoliosis,Muscular dystrophy,vata|kapha,muscle weakness from birth hypotonia joint contractures delayed milestones respiratory and swallowing difficulties scoliosis,vata|kapha
Congenital fiber type disproportion,Muscular disorders,Hypotonia; muscle weakness; delayed motor milestones; facial weakness,Congenital myopathy,vata|kapha,hypotonia muscle weakness delayed motor milestones facial weakness,vata|kapha
Congenital myasthenic syndromes,Muscular disorders,Muscle weakness; fatigability; ptosis; ophthalmoplegia; respiratory difficulties,Neuromuscular junction disorder,vata,muscle weakness fatigability ptosis ophthalmoplegia respiratory difficulties,vata
Congenital myopathies,Muscular disorders,Hypotonia; muscle weakness; delayed milestones; facial weakness; respiratory issues,Congenital myopathy,vata|kapha,hypotonia muscle weakness delayed milestones facial weakness respiratory issues,vata|kapha
Debrancher enzyme deficiency (Cori or Forbes disease),Muscular disorders,Muscle weakness; hepatomegaly; hypoglycemia; exercise intolerance,Glycogen storage disease,kapha|vata,muscle weakness hepatomegaly hypoglycemia exercise intolerance,vata|kapha
Dermatomyositis,Muscular disorders,Muscle weakness (proximal); skin rash; pain; fatigue; difficulty swallowing; joint pain,Inflammatory myopathy,pitta|vata,muscle weakness proximal skin rash pain fatigue difficulty swallowing joint pain,vata|pitta
Distal myopathy,Muscular disorders,Weakness in hands; feet; lower arms/legs; difficulty with fine motor tasks; slow progression,Muscular dystrophy,vata,weakness in hands feet lower arms legs difficulty with fine motor tasks slow progression,vata
Duchenne muscular dystrophy (DMD),Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); frequent falls; difficulty walking; large calf muscles; learning/behavioral challenges; delayed growth; respiratory and cardiac complications,Muscular dystrophy,vata|kapha,progressive muscle weakness hips thighs pelvis shoulders frequent falls difficulty walking large calf muscles learning behavioral challenges delayed growth respiratory and cardiac complications,vata|kapha
Emery-Dreifuss muscular dystrophy,Muscular disorders,Muscle weakness (shoulders; upper arms; shins); joint contractures; decreased spine flexibility; heart problems (arrhythmia; fainting),Muscular dystrophy,vata|kapha,muscle weakness shoulders upper arms shins joint contractures decreased spine flexibility heart problems arrhythmia fainting,vata|kapha
Endocrine myopathies,Muscular disorders,Muscle weakness; cramps; fatigue; possible muscle wasting; endocrine symptoms (thyroid; diabetes; adrenal),Endocrine/metabolic myopathy,vata|kapha,muscle weakness cramps fatigue possible muscle wasting endocrine symptoms thyroid diabetes adrenal,vata|kapha
Facioscapulohumeral muscular dystrophy (FSHD),Muscular disorders,Weakness in face; shoulders; upper arms; difficulty closing eyes; chewing; moving arms; mild hearing loss; possible lower leg involvement,Muscular dystrophy,vata,weakness in face shoulders upper arms difficulty closing eyes chewing moving arms mild hearing loss possible lower leg involvement,vata
Fibromyalgia,Muscular disorders,Widespread muscle pain; fatigue; sleep disturbances; cognitive difficulties; tenderness,Chronic pain syndrome,vata|kapha,widespread muscle pain fatigue sleep disturbances cognitive difficulties tenderness,vata|kapha
Glycogen storage disease type V (McArdle disease),Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Metabolic myopathy,vata|kapha,exercise intolerance muscle cramps weakness myoglobinuria,vata|kapha
Glycogen storage disease types I and II,Muscular disorders,Muscle weakness; hepatomegaly; hypoglycemia; exercise intolerance,Metabolic myopathy,kapha|vata,muscle weakness hepatomegaly hypoglycemia exercise intolerance,vata|kapha
Hip girdle muscular dystrophy,Muscular disorders,Weakness in hip and pelvic muscles; difficulty walking; rising from sitting; climbing stairs,Muscular dystrophy,vata,weakness in hip and pelvic muscles difficulty walking rising from sitting climbing stairs,vata
Inclusion body myositis,Muscular disorders,Progressive muscle weakness (distal and proximal); difficulty swallowing; muscle wasting,Inflammatory myopathy,vata|pitta,progressive muscle weakness distal and proximal difficulty swallowing muscle wasting,vata|pitta
Inflammatory myopathies,Muscular disorders,Muscle weakness; pain; fatigue; swelling; possible skin rash,Inflammatory myopathy,pitta|vata,muscle weakness pain fatigue swelling possible skin rash,vata|pitta
Kearns-Sayre syndrome,Muscular disorders,Progressive external ophthalmoplegia; ptosis; muscle weakness; cardiac conduction defects; retinopathy,Mitochondrial myopathy,vata,progressive external ophthalmoplegia ptosis muscle weakness cardiac conduction defects retinopathy,vata
Lactate dehydrogenase deficiency,Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Metabolic myopathy,vata|kapha,exercise intolerance muscle cramps weakness myoglobinuria,vata|kapha
Limb-girdle muscular dystrophy (LGMD),Muscular disorders,Weakness in shoulders; hips; upper arms/legs; difficulty climbing stairs; rising from sitting; walking; running; possible heart involvement,Muscular dystrophy,vata,weakness in shoulders hips upper arms legs difficulty climbing stairs rising from sitting walking running possible heart involvement,vata
Mitochondrial DNA depletion syndrome,Muscular disorders,Muscle weakness; exercise intolerance; respiratory failure; developmental delay,Mitochondrial myopathy,vata,muscle weakness exercise intolerance respiratory failure developmental delay,vata
Mitochondrial myopathies,Muscular disorders,Muscle weakness; exercise intolerance; fatigue; ptosis; ophthalmoplegia; possible cardiac and neurological symptoms,Mitochondrial myopathy,vata,muscle weakness exercise intolerance fatigue ptosis ophthalmoplegia possible cardiac and neurological symptoms,vata
Mitochondrial neurogastrointestinal encephalomyopathy (MNGIE),Muscular disorders,Muscle weakness; gastrointestinal dysmotility; ptosis; ophthalmoplegia; peripheral neuropathy,Mitochondrial myopathy,vata,muscle weakness gastrointestinal dysmotility ptosis ophthalmoplegia peripheral neuropathy,vata
Myasthenia gravis,Muscular disorders,Muscle weakness; fatigability; ptosis; diplopia; difficulty swallowing; speaking; breathing,Neuromuscular junction disorder,vata,muscle weakness fatigability ptosis diplopia difficulty swallowing speaking breathing,vata
Myoclonus epilepsy with ragged red fibers (MERRF),Muscular disorders,Myoclonus; muscle weakness; epilepsy; ataxia; hearing loss,Mitochondrial myopathy,vata,myoclonus muscle weakness epilepsy ataxia hearing loss,vata
Myofibrillar myopathy,Muscular disorders,Progressive muscle weakness; muscle wasting; possible cardiac involvement,Myopathy,vata,progressive muscle weakness muscle wasting possible cardiac involvement,vata
Myoglobinuria,Muscular disorders,Dark urine after exercise; muscle pain; weakness; possible kidney damage,Metabolic myopathy,vata|pitta,dark urine after exercise muscle pain weakness possible kidney damage,vata|pitta
Myotonic dystrophy type 1,Muscular disorders,Progressive muscle weakness (face; neck; hands; lower legs); myotonia (delayed muscle relaxation); cataracts; cardiac arrhythmias; difficulty swallowing; excessive daytime sleepiness; endocrine disturbances; GI symptoms; respiratory issues,Muscular dystrophy (myotonic),vata|kapha,progressive muscle weakness face neck hands lower legs myotonia delayed muscle relaxation cataracts cardiac arrhythmias difficulty swallowing excessive daytime sleepiness endocrine disturbances gi symptoms respiratory issues,vata|kapha
Myotonic dystrophy type 2,Muscular disorders,Proximal muscle weakness (neck; shoulders; hips); myotonia; muscle pain; cataracts; cardiac arrhythmias; diabetes; less facial involvement than type 1,Muscular dystrophy (myotonic),vata|kapha,proximal muscle weakness neck shoulders hips myotonia muscle pain cataracts cardiac arrhythmias diabetes less facial involvement than type,vata|kapha
Nemaline myopathy,Muscular disorders,Muscle weakness (face; neck; trunk; limbs); hypotonia; feeding and respiratory difficulties; delayed milestones,Congenital myopathy,vata|kapha,muscle weakness face neck trunk limbs hypotonia feeding and respiratory difficulties delayed milestones,vata|kapha
Neurogenic muscular atrophy,Muscular disorders,Progressive muscle wasting; weakness; fasciculations; loss of reflexes; muscle cramps,Neurogenic atrophy (motor neuron disease),vata,progressive muscle wasting weakness fasciculations loss of reflexes muscle cramps,vata
Oculopharyngeal muscular dystrophy,Muscular disorders,Ptosis (drooping eyelids); dysphagia (difficulty swallowing); proximal limb weakness; tongue weakness,Muscular dystrophy,vata,ptosis drooping eyelids dysphagia difficulty swallowing proximal limb weakness tongue weakness,vata
Periodic paralysis (Hypokalemic; Hyperkalemic),Muscular disorders,Episodic muscle weakness/paralysis; often triggered by rest after exercise or high-carb meals; normal between attacks,Channelopathy (muscle ion channel disorder),vata,episodic muscle weakness paralysis often triggered by rest after exercise or high carb meals normal between attacks,vata
Phosphofructokinase deficiency (Tarui disease),Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria; hemolytic anemia,Glycogen storage disease (metabolic myopathy),vata|kapha,exercise intolerance muscle cramps weakness myoglobinuria hemolytic anemia,vata|kapha
Phosphoglycerate kinase deficiency,Muscular disorders,Muscle weakness; exercise intolerance; myoglobinuria; hemolytic anemia; intellectual disability (sometimes),Glycogen storage disease (metabolic myopathy),vata|kapha,muscle weakness exercise intolerance myoglobinuria hemolytic anemia intellectual disability sometimes,vata|kapha
Phosphoglycerate mutase deficiency,Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Glycogen storage disease (metabolic myopathy),vata|kapha,exercise intolerance muscle cramps weakness myoglobinuria,vata|kapha
Polymyositis,Muscular disorders,Symmetrical proximal muscle weakness; muscle pain; fatigue; difficulty swallowing; low-grade fever,Inflammatory myopathy,pitta|vata,symmetrical proximal muscle weakness muscle pain fatigue difficulty swallowing low grade fever,vata|pitta
Pompe disease (acid maltase deficiency),Muscular disorders,Progressive muscle weakness; respiratory difficulties; cardiomegaly; feeding problems; hypotonia; fatigue,Glycogen storage disease (metabolic myopathy),kapha|vata,progressive muscle weakness respiratory difficulties cardiomegaly feeding problems hypotonia fatigue,vata|kapha
